County, 2024 population ,Percentage of people with low incomes (under 200% of the  poverty level),Percentage of people living in poverty,Percentage of children living in poverty,Unemployment rate,High school grad rate,Percentage of adults with a bachelor's degree, Living Income Standard , Median worker earnings , Median household income ,Percentage of renter households paying more than 50% of income on rent,Work hours per week at min wage needed to afford rent for a two-bedroom home at fair market rate,Percentage of people without health insurance,Percentage of people receiving SNAP benefits,,,,,,,,,,,,,,,,,,,,
Jackson County," 43,300 ",40%,19%,28%,3.2%,88%,30%," $52,200 "," $38,300 "," $51,500 ",33%,95,15%,11%,,,,,,,,,,,,,,,,,,,,
Johnston County," 249,700 ",29%,11%,15%,2.9%,92%,26%," $63,400 "," $47,900 "," $75,300 ",21%,175,11%,11%,,,,,,,,,,,,,,,,,,,,
Jones County," 9,100 ",41%,18%,16%,2.8%,95%,16%," $50,800 "," $36,900 "," $53,100 ",18%,91,13%,20%,,,,,,,,,,,,,,,,,,,,
Lee County," 67,600 ",37%,16%,22%,3.7%,86%,21%," $55,400 "," $40,900 "," $60,900 ",22%,107,14%,13%,,,,,,,,,,,,,,,,,,,,
Lenoir County," 53,500 ",48%,22%,34%,3.1%,84%,15%," $51,700 "," $34,300 "," $43,100 ",20%,91,11%,27%,,,,,,,,,,,,,,,,,,,,
Lincoln County," 98,300 ",26%,9%,10%,2.8%,89%,26%," $59,300 "," $46,500 "," $75,700 ",26%,116,9%,10%,,,,,,,,,,,,,,,,,,,,
Macon County," 38,500 ",38%,15%,21%,2.7%,93%,24%," $54,300 "," $36,800 "," $51,000 ",24%,102,15%,10%,,,,,,,,,,,,,,,,,,,,
Madison County," 21,500 ",31%,13%,12%,2.7%,90%,32%," $59,400 "," $43,200 "," $56,700 ",31%,178,9%,15%,,,,,,,,,,,,,,,,,,,,
Martin County," 21,000 ",40%,21%,32%,4.3%,69%,15%," $51,800 "," $35,200 "," $44,800 ",20%,91,8%,24%,,,,,,,,,,,,,,,,,,,,
McDowell County," 44,600 ",38%,15%,19%,2.9%,84%,18%," $49,700 "," $39,100 "," $53,500 ",14%,91,13%,18%,,,,,,,,,,,,,,,,,,,,
Mecklenburg County," 1,190,600 ",26%,11%,16%,3.2%,83%,48%," $71,200 "," $52,000 "," $79,300 ",21%,165,11%,11%,,,,,,,,,,,,,,,,,,,,
Mitchell County," 14,800 ",36%,13%,14%,3.1%,84%,22%," $50,200 "," $40,200 "," $55,500 ",15%,91,11%,16%,,,,,,,,,,,,,,,,,,,,
Montgomery County," 25,500 ",39%,16%,24%,3.6%,95%,20%," $50,600 "," $35,700 "," $55,500 ",17%,91,14%,17%,,,,,,,,,,,,,,,,,,,,
Moore County," 111,000 ",24%,10%,13%,3.1%,92%,40%," $54,700 "," $46,800 "," $78,000 ",18%,106,8%,9%,,,,,,,,,,,,,,,,,,,,
Nash County," 97,800 ",35%,15%,20%,4.2%,85%,22%," $53,300 "," $40,400 "," $56,800 ",19%,110,12%,17%,,,,,,,,,,,,,,,,,,,,
New Hanover County," 242,700 ",30%,13%,15%,3.0%,88%,43%," $62,200 "," $46,100 "," $67,500 ",27%,161,11%,10%,,,,,,,,,,,,,,,,,,,,
Northampton County," 15,900 ",42%,19%,29%,3.9%,80%,18%," $55,200 "," $34,000 "," $45,700 ",26%,101,11%,28%,,,,,,,,,,,,,,,,,,,,
Onslow County," 214,800 ",36%,13%,17%,3.7%,91%,26%," $54,600 "," $42,400 "," $60,000 ",23%,135,10%,10%,,,,,,,,,,,,,,,,,,,,
Orange County," 151,600 ",25%,12%,11%,2.6%,92%,62%," $75,800 "," $54,200 "," $85,800 ",33%,173,6%,6%,,,,,,,,,,,,,,,,,,,,
Pamlico County," 12,100 ",34%,14%,21%,3.4%,92%,24%," $51,900 "," $36,200 "," $55,900 ",17%,121,9%,14%,,,,,,,,,,,,,,,,,,,,
Pasquotank County," 40,900 ",33%,12%,14%,3.7%,76%,26%," $53,600 "," $41,800 "," $61,400 ",18%,112,11%,18%,,,,,,,,,,,,,,,,,,,,
Pender County," 69,500 ",27%,12%,16%,3.0%,94%,29%," $56,800 "," $44,900 "," $74,500 ",28%,118,9%,10%,,,,,,,,,,,,,,,,,,,,
Perquimans County," 13,200 ",30%,13%,16%,3.8%,89%,20%," $52,400 "," $45,900 "," $59,400 ",21%,101,11%,18%,,,,,,,,,,,,,,,,,,,,
Person County," 39,300 ",33%,17%,31%,3.1%,83%,18%," $52,700 "," $42,200 "," $60,700 ",33%,101,8%,17%,,,,,,,,,,,,,,,,,,,,
Pitt County," 177,400 ",40%,20%,23%,3.6%,82%,33%," $58,500 "," $43,300 "," $54,900 ",27%,123,10%,18%,,,,,,,,,,,,,,,,,,,,
Polk County," 19,700 ",30%,11%,14%,2.8%,82%,33%," $53,500 "," $36,800 "," $60,500 ",20%,107,10%,11%,,,,,,,,,,,,,,,,,,,,
Randolph County," 146,400 ",38%,15%,20%,3.3%,87%,17%," $54,700 "," $38,200 "," $56,400 ",20%,124,13%,16%,,,,,,,,,,,,,,,,,,,,
Richmond County," 42,300 ",46%,23%,37%,4.1%,80%,17%," $48,000 "," $33,600 "," $42,400 ",31%,91,10%,32%,,,,,,,,,,,,,,,,,,,,
Robeson County," 118,700 ",54%,27%,38%,4.7%,79%,15%," $50,800 "," $35,100 "," $39,400 ",23%,91,14%,35%,,,,,,,,,,,,,,,,,,,,
Rockingham County," 91,600 ",40%,19%,30%,3.5%,84%,15%," $50,500 "," $39,900 "," $50,700 ",21%,99,10%,19%,,,,,,,,,,,,,,,,,,,,
Rowan County," 153,000 ",37%,16%,25%,3.1%,88%,21%," $53,100 "," $42,000 "," $59,700 ",27%,119,11%,13%,,,,,,,,,,,,,,,,,,,,
Rutherford County," 65,000 ",42%,18%,25%,4.1%,89%,20%," $49,400 "," $37,000 "," $50,500 ",28%,91,12%,19%,,,,,,,,,,,,,,,,,,,,
Sampson County," 59,800 ",45%,22%,34%,3.2%,81%,15%," $50,400 "," $38,200 "," $50,000 ",25%,91,16%,19%,,,,,,,,,,,,,,,,,,,,
Scotland County," 33,100 ",51%,26%,41%,5.9%,87%,14%," $48,800 "," $35,600 "," $41,900 ",28%,91,12%,31%,,,,,,,,,,,,,,,,,,,,
Stanly County," 64,300 ",32%,14%,21%,2.9%,85%,19%," $53,300 "," $41,500 "," $60,600 ",23%,98,11%,13%,,,,,,,,,,,,,,,,,,,,
Stokes County," 46,000 ",34%,12%,16%,2.8%,89%,16%," $53,500 "," $41,900 "," $57,500 ",16%,118,9%,12%,,,,,,,,,,,,,,,,,,,,
Surry County," 71,200 ",40%,18%,24%,2.9%,90%,18%," $53,300 "," $39,000 "," $52,700 ",20%,91,13%,16%,,,,,,,,,,,,,,,,,,,,
Swain County," 13,900 ",45%,20%,33%,2.5%,88%,21%," $48,900 "," $39,000 "," $52,800 ",25%,91,24%,15%,,,,,,,,,,,,,,,,,,,,
Transylvania County," 33,200 ",32%,13%,20%,2.9%,84%,37%," $53,500 "," $38,400 "," $62,100 ",30%,120,14%,10%,,,,,,,,,,,,,,,,,,,,
Tyrrell County," 3,300 ",38%,16%,31%,5.6%,>95%,12%," $48,600 "," $29,100 "," $55,300 ",12%,91,12%,17%,,,,,,,,,,,,,,,,,,,,
Union County," 263,300 ",21%,7%,9%,2.8%,92%,38%," $66,100 "," $53,700 "," $95,500 ",18%,165,9%,7%,,,,,,,,,,,,,,,,,,,,
Vance County," 40,700 ",44%,19%,26%,4.7%,70%,18%," $52,300 "," $33,800 "," $48,300 ",25%,96,12%,31%,,,,,,,,,,,,,,,,,,,,
Wake County," 1,213,400 ",20%,8%,10%,2.8%,90%,56%," $73,500 "," $58,600 "," $96,700 ",21%,175,8%,6%,,,,,,,,,,,,,,,,,,,,
Warren County," 18,800 ",47%,21%,37%,4.7%,79%,17%," $52,200 "," $32,200 "," $42,300 ",18%,91,11%,22%,,,,,,,,,,,,,,,,,,,,
Washington County," 10,300 ",48%,22%,28%,4.6%,74%,14%," $52,100 "," $34,800 "," $38,900 ",36%,91,9%,28%,,,,,,,,,,,,,,,,,,,,
Watauga County," 57,800 ",42%,25%,9%,2.5%,91%,45%," $55,400 "," $38,900 "," $50,000 ",47%,121,9%,4%,,,,,,,,,,,,,,,,,,,,
Wayne County," 117,100 ",40%,18%,28%,3.5%,78%,20%," $54,200 "," $38,600 "," $54,300 ",21%,116,12%,20%,,,,,,,,,,,,,,,,,,,,
Wilkes County," 66,300 ",41%,17%,28%,3.2%,90%,16%," $53,800 "," $34,600 "," $49,100 ",20%,91,12%,18%,,,,,,,,,,,,,,,,,,,,
Wilson County," 78,400 ",43%,20%,31%,4.8%,83%,20%," $53,100 "," $39,800 "," $49,800 ",25%,101,12%,21%,,,,,,,,,,,,,,,,,,,,
Yadkin County," 37,500 ",33%,14%,22%,2.7%,89%,14%," $48,800 "," $39,900 "," $57,500 ",17%,118,12%,12%,,,,,,,,,,,,,,,,,,,,
Yancey County," 18,600 ",39%,15%,24%,2.7%,85%,22%," $48,600 "," $36,500 "," $53,100 ",17%,91,10%,15%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
